Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
266,"Towards the Establishment of a Multiple-Use National Park as an integrated planning and management framework from ridge to reef as a means of addressing soil erosion, reducing sewage pollution, coral reef rehabilitation and the development and promotion of livelihoods in the community of Canaries, Saint Lucia",GEF Small Grants Programme,Closed,2015,2015,Saint Lucia,Atlantic Ocean,,Canaries Community Improvement Foundation,"US$ 15,422","Grant - US$ 4,741; Co-financing - US$ 10,681",promoting sustainable living and alternative livelihoods (SL),,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23151&Itemid=272
267,Coral Reef Ecosystem Rehabilitation Wa-Pia Pia Towards Community-Based Ecotourism Village 2015,GEF Small Grants Programme,Closed,2013,2014,Indonesia,Pacific Ocean,,KINATE,"US$ 40,866","Grant - US$ 20,000; Co-financing - US$ 20,866",communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20042&Itemid=272
268,Project de promocao da lideranca da rapariga,GEF Small Grants Programme,Closed,2009,2011,Mozambique,Indian Ocean,,PROLIR - Associação de Promoção da Lideranção da Rapariga,"US$ 33,344","Grant - US$ 19,280; Co-financing - US$ 14,064",conservation,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15528&Itemid=272
269,"Empowerment of Coastal Community through Management of Marine Protected Areas (MPAs) and Sustainable Alternative Livelihoods in Ekas Bay, East Lombok",GEF Small Grants Programme,Closed,2013,2015,Indonesia,Pacific Ocean,,Yayasan Laut Biru,US$ 51.948,"Grant - US$ 26,000; Co-financing - US$ 25,948",marine Protected Areas (PA) management,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20022&Itemid=272
270,Improving livelihoods through education and coral reef conservation to encourage sustainable behaviour change,GEF Small Grants Programme,Closed,2012,2015,Malaysia,Indian Ocean,,Reef Check Malaysia Berhad,"US$ 109,664","Grant - US$ 50,000; Co-financing - US$ 59,664",communications and awareness,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18001&Itemid=272
271,Mulhers amigas do ambiente e maricultura em Mongue,GEF Small Grants Programme,Closed,2013,2014,Mozambique,Indian Ocean,,Acudes Projecto SNV,"US$  26,015","Grant - US$ 20,015; Co-financing - US$ 6,000",Communications and awareness,augusto.correia@undp.org; paula.boane@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19973&Itemid=272
272,"Conservation of marine biodiversity through participation of local community, creating awareness on climate change and environmental issues",GEF Small Grants Programme,Closed,2012,2015,Maldives,Indian Ocean,,Naifaru Juvenile,"US$ 47,200","Grant - US$ 29,900; Co-financing - US$ 17,300",communications and awareness,fathimath.saeedha@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17737&Itemid=272
273,Coral replanting and restoration project by Wildlife Research and Conservation Trust,GEF Small Grants Programme,Closed,2010,2011,Sri Lanka,Indian Ocean,,Wildlife Research and Conservation Trust,"US$ 353,237","Grant - US$ 10,875; Co-financing - US$ 342,362",conservation,shireen.samarasuriya@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16278&Itemid=272
274,Strengthening Economical Condition and Raising Awareness of the Communities regarding Sustainable Fishery in Simpadan International Water Area,GEF Small Grants Programme,Closed,2008,2010,Indonesia,Pacific Ocean,,Yayasan Gema Lingkungan Indonesia,"US$ 73,169","Grant - US$ 50,000; Co-financing - US$ 23,169",communications and awareness,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13327&Itemid=272
275,Here is life,GEF Small Grants Programme,Closed,2012,2013,Iran,Indian Ocean,,Doostdarane Darya,"US$ 87,000","Grant - US$ 45,000; Co-financing - US$ 42,000",communications and awareness,laleh.daraie@undp.org; fariba.aghakhani@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18913&Itemid=272
276,The development of Education-Based Tourism and Strengthening Local Economic Potential in Border Community,GEF Small Grants Programme,Closed,2013,2013,Indonesia,Pacific Ocean,,Kelompok Budidaya Karang,"US$ 78,490","Grant - US$ 40,000; Co-financing - US$ 38,490",promoting sustainable living and alternative livelihoods (SL),dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20840&Itemid=272
277,The Preparation of Action Plan for Conservation In Participatory,GEF Small Grants Programme,Closed,2013,2013,Indonesia,Pacific Ocean,,Kelompok Budidaya Karang,"US$ 7,561","Grant - US$ 4,000; Co-financing - US$ 3,561",conservation,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19525&Itemid=272
278,Reforestation of the Courland River Watershed Area,GEF Small Grants Programme,Closed,2010,2010,Trinidad and Tobago,Atlantic Ocean,,Anse Fromager Ecological and Environmental Protection Organisation,"US$ 1,600","Grant - US$ 1,600",conservation,nesha.beharry.borg@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15860&Itemid=272
279,"The Lionfish Project: Increasing the Capacity of ECOMAR and the National Coral Reef Monitoring Network to Prepare and Implement an Effective National Lionfish Response Plan Utilizing the Assistance of Government Organizations, Civil Society, Private Sector, Artisanal Fishermen and Tour Guides",GEF Small Grants Programme,Closed,2009,2016,Belize,Pacific Ocean,,Environmental Conservation Organization,"US$ 209,579","Grant - US$ 49,864; Co-financing - US$ 159,715",monitoring and Research,leonel.requena@undp.org; http://www.ecomarbelize.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14411&Itemid=272
280,Networking of SGP Projetcs in Qeshm,GEF Small Grants Programme,Closed,2008,2011,Iran,Indian Ocean,,"Technical team of environmentalists in collaboration with Local Village Councils of Lark, Laft, Shibderaz, Sarrigh, Salakh and Fishermen of Berkeh Khalaf","US$ 82,500","Grant - US$ 50,000; Co-financing - US$ 32,500",communications and awareness,smdakhteh@yahoo.com; laleh.daraie@undp.org; fariba.aghakhani@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12879&Itemid=272
281,"Fasitootai: Reduce impacts of climate change driven erosion through protection and conservation of Mangroves, Eco-systems and Coral Reefs",GEF Small Grants Programme,Closed (before completion),2009,2011,Samoa,Pacific Ocean,,Alii ma Faipule - Fasitootai,"US$ 150,000","Grant - US$ 50,000; Co-financing - US$ 100,000",climate Change Resilience,filia.iosefa@undp.org; ofusina.ieremia@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14767&Itemid=272
282,Wasini Island Marine Conservation Project,GEF Small Grants Programme,Closed,2012,2014,Kenya,Indian Ocean,,Wasini Beach Management Unit,"US$ 62,035","Grant - US$ 36,833; Co-financing - US$ 25,202",conservation,nancy.chege@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19464&Itemid=272
283,Namuaimada Community Conservation Area,GEF Small Grants Programme,Closed,2010,2012,Fiji,Indian Ocean,,Namuamada Women's Group,"US$ 13,837","Grant - US$ 12,000; Co-financing - US$ 1,837",conservation,arthur.sokimi@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16436&Itemid=272
284,"Island-wide conservation of marine biodiversity, with a focus on coral reefs, through community involvement and action",GEF Small Grants Programme,Closed,2008,2011,Malaysia,Indian Ocean,,Reef Check Malaysia Berhad,"US$ 106,060","Grant - US$ 50,000; Co-financing - US$ 56,060",promoting sustainable living and alternative livelihoods (SL),julian@reefcheck.org.my; shin.shin.lee@undp.org; lai.sook.mei@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13088&Itemid=272
285,Strengthening Crab Bay Community Management of Locally managed Marine Areas and Ecotourism,GEF Small Grants Programme,Closed,2009,2010,Vanuatu,Pacific Ocean,,Malampa Fishermans Association,"US$ 50,000","Grant - US$ 24,355; Co-financing - US$ 25,645",marine Protected Areas (PA) management,kmoris@vanuatu.gov.vu; LeahN@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13899&Itemid=272
286,"Improving Management of Waste on the Perhentian Islands Through Capacity Building, Small Scale Investments and Local Participation",GEF Small Grants Programme,Closed,2010,2012,Malaysia,Indian Ocean,,Persatuan Pengusaha-pengusaha Pulau Perhentian Terengganu,"US$ 52,515","Grant - US$ 24,000; Co-financing - US$ 28,515",marine Protected Areas (PA) management,shin.shin.lee@undp.org; lai.sook.mei@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16283&Itemid=272
287,"Creating of the Commitment and Wa Pia-Pia Community Action, Achieved up to 95% cover coral, in 2015",GEF Small Grants Programme,Closed,2012,2012,Indonesia,Pacific Ocean,,KINATE,"US$ 8,151","Grant - US$ 3,000; Co-financing - US$ 5,151",communications and awareness,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18079&Itemid=272
288,The Development Costal and Biodiversity-Based Ecotourism,GEF Small Grants Programme,Closed,2010,2011,Indonesia,Pacific Ocean,,Santiri Foundation,"US$ 84,178","Grant - US$ 35,000; Co-financing - US$ 49,178",promoting sustainable living and alternative livelihoods (SL),santiri_foundation@yahoo.com; redaksi@rumahalir.or.id; dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15822&Itemid=272
289,Safai Community Based Adaptation against flooding and sea level rise,GEF Small Grants Programme,Closed,2009,2011,Samoa,Pacific Ocean,,Alii ma Faipule Safai,"US$ 90,000","Grant - US$ 30,000; Co-financing - US$ 60,000",communications and awareness,filia.iosefa@undp.org; ofusina.ieremia@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14827&Itemid=272
290,"From awareness to action: Building community and coral reef resilience in Tioman Island, Malaysia",GEF Small Grants Programme,Closed,2014,2017,Malaysia,Indian Ocean,,PERTUBUHAN ALAM SEKITAR ECOKNIGHTS KUALA LUMPUR DAN SELANGOR,"US$ 114,720","Grant - US$ 48,797; Co-financing - US$ 65,923",communications and awareness,yasmin.rasyid@ecoknights.org.my; shin.shin.lee@undp.org; lai.sook.mei@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22703&Itemid=272
291,Mitigating the impact of tourism in sensitive marine habitats: The Elizabeth Harbour day use mooring buoy project,GEF Small Grants Programme,Closed,2013,2014,Bahamas,Atlantic Ocean,,Elizabeth Harbour Conservation Partnership,"US$ 33,115","Grant - US$ 19,080; Co-financing - US$ 14,035",promoting sustainable living and alternative livelihoods (SL),elizabethharbourpartnership@gmail.com; deons@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20680&Itemid=272
292,"Lawad Laborie - Effective Management of and Sustainable Livelihoods in Laborie Bay, Saint Lucia",GEF Small Grants Programme,Closed,2014,2014,Saint Lucia,Atlantic Ocean,,Anse Kawèt,"US$ 5,562","Grant - US$ 4,426; Co-financing - US$ 1,136",promoting sustainable living and alternative livelihoods (SL),papelcraftcenhtre@gmail.com; gilesr@unops.org; anelapjm@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=22011&Itemid=272
293,Conserving the Marine Biodiversity of Romblon Passage,GEF Small Grants Programme,Closed,2010,2012,Philippines,Indian Ocean,,"Sentro para sa Ikauunlad ng Katutubong Agham at Teknolohiya, Inc.","US$ 106,182","Grant - US$ 47,727; Co-financing - US$ 58,455",conservation,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15846&Itemid=272
294,Recovering the Community-based Management to Control Natural Population of Fishes,GEF Small Grants Programme,Closed,2013,2014,Indonesia,Pacific Ocean,,Lembaga Pemberdayaan Swadaya Masyarakat YASINTA,"US$ 21,140","Grant - US$ 15,000; Co-financing - US$ 6,140",fisheries Management,marufkasim@hotmail.com; dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=19470&Itemid=272
295,Conservation and sustainable use of coral reef ecosystems in Tam Hai Commune,GEF Small Grants Programme,Closed,2008,2011,Vietnam,International Waters,,"Women's Union of Nui Thanh District, Quang Nam Province","US$ 95,433","Grant - US$ 50,000; Co-financing - US$ 45,433",promoting sustainable living and alternative livelihoods (SL),pnnuithanh@gmail.com; nguyen.thi.thu.huyen@undp.org; pham.thi.hong.khuyen@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13270&Itemid=272
296,Conserving and Planning Sustainable Use of Coastal Resources,GEF Small Grants Programme,Closed,2009,2011,Thailand,Indian Ocean,,Chaolao Community Fishing Group,"US$ 50,267","Grant - US$ 34,399; Co-financing - US$ 15,868",promoting sustainable living and alternative livelihoods (SL),thadthana.luengthada@undp.org; suwimol.sereepaowong@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13872&Itemid=272
297,Navutulevu Coral Reef Resilience Project,GEF Small Grants Programme,Closed,2011,2011,Fiji,Pacific Ocean,,Navutulevu Development Fund,"US$ 6,587","Grant - US$ 5,000; Co-financing - US$ 1,587",promoting sustainable living and alternative livelihoods (SL),taiton@sprep.org; arthur.sokimi@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=16907&Itemid=272
298,Improving Coastal Community's Living Standard Through Environmental Friendly and Sustainable Management and Usage of Coral Reef Ecosystem,GEF Small Grants Programme,Closed,2008,2010,Indonesia,International Waters,,Kelompok Peduli Lingkungan Belitung,"US$ 194,473","Grant - US$ 50,000; Co-financing - US$ 144,473",promoting sustainable living and alternative livelihoods (SL),kplbcare@yahoo.com; dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13342&Itemid=272
299,Dardanelles Coral Reef Protection,GEF Small Grants Programme,Closed,2013,2014,Turkey,Indian Ocean,,Truva Sea Sports Youth and Sports Club Society,"US$ 42,500","Grant - US$ 23,400; Co-financing - US$ 19,100",marine Protected Areas (PA) management,gokmen.argun@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20324&Itemid=272
300,Boosting Biodiversity in Negril's Coral Reef through Community Recycling and Environmental Education,GEF Small Grants Programme,Closed,2008,2010,Jamaica,Indian Ocean,,Negril Chamber of Commerce,"US$ 64,993","Grant - US$ 39,200; Co-financing - US$ 25,793",promoting sustainable living and alternative livelihoods (SL),negrilchamber@cwjamaica.com; hyacinthd@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13576&Itemid=272
301,Coastal Fishery Resource Protection and Conservation for Improving Livelihood of Community (CFRPCILC),GEF Small Grants Programme,Closed,2011,2013,Cambodia,Indian Ocean,,Okrasa Community Fisheries,"US$ 69,639","Grant - US$ 40,024; Co-financing - US$ 29,615",fisheries Management,rithysenmen@yahoo.com; ngin.navirak@undp.org; socheata.kim@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17218&Itemid=272
302,Community-Based Coastal Ecosystem Protection and Biodiversity Conservation – Badian Bay,GEF Small Grants Programme,Closed,2012,2013,Philippines,Indian Ocean,,Zaragosa – Badian Island Multi-Purpose Cooperative,"US$ 45,838","Grant - US$ 45,838",conservation,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17979&Itemid=272
303,The rehabilitation of mangrove forests in the West Coast Region,GEF Small Grants Programme,Closed,2012,2013,Gambia,Atlantic Ocean,,Kombo Foni Forestry Association,"US$ 28,000","Grant - US$ 20,000; Co-financing - US$ 8,000",conservation,kebbaB@unops.org; fatouej@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=18963&Itemid=272
304,"Community Participated Mangrove Restoration & Management And Livelihoods Improvement Of Dependent Fishermen Communities In Krishna Mangrove Wetlands, In A.P",GEF Small Grants Programme,Closed,2013,2015,India,Indian Ocean,,Praja Pragathi Seva Sangam,"US$ 83,043","Grant - US$ 40,245; Co-financing - US$ 42,798",communications and awareness,shivani.jain@ceeindia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20247&Itemid=272
305,Coastal Management and Mangrove Conservation,GEF Small Grants Programme,Closed,2010,2012,Samoa,Pacific Ocean,,Alii ma Faipule o Safua,"US$ 25,387","Grant - US$ 16.387; Co-financing - US$ 9,000",marine Protected Areas (PA) management,filia.iosefa@undp.org; ofusina.ieremia@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15726&Itemid=272
306,Pemba community based mangrove conservation and sustainable livelihood project,GEF Small Grants Programme,Closed,2008,2010,Tanzania,Indian Ocean,,Misali Island Conservation Association,"US$ 36,267","Grant - US$ 25,909; Co-financing - US$ 10,358",conservation,masoudukunda@yahoo.com; nehemiah.murusuri@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13335&Itemid=272
307,Projet de conservation et de valorisation de la mangrove de Diele Mbame,GEF Small Grants Programme,Closed,2013,2015,Senegal,Atlantic Ocean,,GIE BOOK DIOM DIELE MBAME,"US$ 78,080","Grant - US$ 39,370; Co-financing - US$ 38,710",conservation,soguesey@ysahoo.fr; khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=20556&Itemid=272
308,Planning grant for existing situation in Gowater Bay mangrove projects,GEF Small Grants Programme,Closed,2009,2010,Iran,Indian Ocean,,Samira Farahani Legal Representative,"US$ 4,000","Grant - US$ 2,000; Co-financing - US$ 2,000",marine Protected Areas (PA) management,laleh.daraie@undp.org; fariba.aghakhani@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14132&Itemid=272
309,Demonstration of Eco-restoration and Eco-aquaculture in Mangrove Forest in the Beibu Gulf of Guangxi,GEF Small Grants Programme,Closed,2011,2013,China,Indian Ocean,,Fangchenggang Mangrove Protection Association,"US$ 44,946","Grant - US$ 42,798; Co-financing - US$ 2,148",monitoring and Research,yi.liu@undp.org; fei.li@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17277&Itemid=272
310,Community driven Mangrove resource management conservation and restoration in selected villages around the Bhitarkanika mangrove areas,GEF Small Grants Programme,Closed,2014,2016,India,Indian Ocean,,APOWA-Action for Protection of Wild Animals,"US$ 46,950","Grant - US$ 25,567; Co-financing - US$ 21,383",promoting sustainable living and alternative livelihoods (SL),mail@apowa.org; shivani.jain@ceeindia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21776&Itemid=272
311,"Appui à la préservation de la mangrove à Bassin Haut d’eau, Cap-Haitien",GEF Small Grants Programme,Closed,2014,2015,Haiti,Atlantic Ocean,,INSTITUT DE RECHERCHE ET D’APPUI TECHNIQUE EN AMENAGEMENT DU MILIEU,"US$ 58,713","Grant - US$ 48,928; Co-financing - US$ 9,785",conservation,jean-parnell.dimanche@undp.org; renel.bruno@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=21610&Itemid=272
312,Saving the Genuine Mangrove Forest in Selat Nasik Island as a Mangrove Education and Information Centre and in the same time increase the Welfare of the Local Community in Adaptation to Climate Change,GEF Small Grants Programme,Closed,2009,2010,Indonesia,Pacific Ocean,,Komunitas Sahabat Alam,"US$ 52,086","Grant - US$ 30,000; Co-financing - US$ 22,086",Communications and awareness,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=14710&Itemid=272
313,Decontamination of Mangrove Natural Reserves in Red Sea,GEF Small Grants Programme,Closed,2008,2011,Egypt,Indian Ocean,,American Muslim Foundation International,"US$ 59,090","Grant - US$ 30,000; Co-financing - US$ 29,090",conservation,universalgroupegypt@yahoo.com; eadly@hotmail.com; info@gefsgpegypt.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13233&Itemid=272
314,Rehabilitation and Conservation of Mangrove Ecosystem in Karang-Gading Estuary/Langkat Timur As Part of Coastal Carbon Corridor,GEF Small Grants Programme,Closed,2010,2010,Indonesia,Pacific Ocean,,Kelompok Tani Serai Mangrove,"US$ 2,769","Grant - US$ 2,000; Co-financing - US$ 769",conservation,dwihastarini@sgp-indonesia.org; ranggabayubasuki@yahoo.com,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=15596&Itemid=272
315,Projet de renforcement de la mangrove et de promotion de moyens d'existence durable dans la zone de soucouta,GEF Small Grants Programme,Closed,2008,2010,Senegal,Atlantic Ocean,,Groupement MBOGA YIIF de Soucouta,"US$ 46,839","Grant - US$ 36,939; Co-financing - US$ 9,900",promoting sustainable living and alternative livelihoods (SL),mbogayiif@yahoo.frr; khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13638&Itemid=272
316,PROJET BIODIVERSITE ET RECUPERATION DES TERRES DEGRADEES DE LA VALLEE DE FIMELA : RESTAURATION DE LA MANGROVE ET CONSTRUCTION D'UNE DIGUE ANTISEL,GEF Small Grants Programme,Closed,2008,2010,Senegal,Atlantic Ocean,,ASSOCIATION VILLAGEOISE DE DEVELOPPEMENT DE FIMELA,"US$ 48,414","Grant - US$ 38,114; Co-financing - US$ 10,300",conservation,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13566&Itemid=272
317,Coral resilience investigated in the field and via a sea anemone model system,Gordon and Betty Moore Foundation,Closed,2010,2013,USA,Pacific Ocean,,"Stanford University, School of Medicine","US$ 2,596,138","Stanford University, School of Medicine",Monitoring and Research,https://www.moore.org/grant-detail?grantId=GBMF2629,
318,The Impacts of Climate Change on the Marine Sector,UNDP,Closed,,2013,Belize,Pacific Ocean,,,,,climate Change Resilience,,
319,CORAIL: Coral reefs in a changing world - ecosystemic services from coral reefs : public tools for decision making in New Caledonia and French Polynesia,BEST,Closed,2011,2014,New Caledonia and French Polynesia,Pacific Ocean,,,,,policy and Legislation (PL),http://ec.europa.eu/environment/nature/biodiversity/best/pdf/fs_corail_final.pdf,
320,"MANG - Giving impetus to a collective movement in
favour of the preservation of coastal wetlands
in EU overseas territories",BEST,Closed,2012,2014,"Mayotte, French Guiana, Saint Barthélemy, Guadeloupe and Martinique",Indian Ocean,,,,"EU grant - US$ 345,625",marine Protected Areas (PA) management,,
321,Maskelynes islands mooring and reef cleansup project,UNDP,Active,2012,2014,Vanuatu,Pacific Ocean,,Grantee: Maskelyne Tourism Association,"Grant amount: US$ 29,344; Co-financing cash: US$ 7,296; Co-financing in-kind: US$ 22,439",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=17834&Itemid=272
322,Enhancing the Climate Resilience of Coastal Resources and Communities,World Bank,Active,2013,2018,Samoa,Pacific Ocean,Ministry of Finance,Ministry of Natural Resources and Environment, ,Strategic Climate Fund Grant,,Habiba Gitay,http://projects.worldbank.org/P126596?lang=en
323,Capturing Coral Reef Ecosystem Services (CCRES),World Bank,Active,2013,2018,,Pacific Ocean,University of Queensland,University of Queensland,US$6.5 million,,,Cary Anne Cadman,http://projects.worldbank.org/P123933/capturing-coral-reef-ecosystem-services-
324,Coopération régionale dans le Pacifique Sud pour la restauration des services éco-systémiques et d’adaptation au changement climatique - RESCCUE,FFEM + AFD + UE + VALE + FWF,Active,2013,2018,,Pacific Ocean,,,US$ 10.6 million,,,,http://www.ffem.fr/accueil-FFEM/projets/projets_ffem-par-secteur/Projetschangement-climatique/2012-czz1667-RESCCUE
325,Protecting the Pheonix Islands,Pheonix Islands Protected Area (PIPA) Trust/ Oceans5,Active,2014,2019,Republic of Kiribati,Pacific Ocean,,,"US$ 2,500,000",,,,http://oceans5.org/project/protecting-the-phoenix-islands-2/
326,Curbing Destructive Fishing in Nicaragua,Oceans5,Active,2014,2017,Nicaragua,Pacific Ocean,,,"US$ 1,500,000","Fauna and Flora International (FFI), Nicaraguan Foundation for Sustainable Development (FUNDENIC)",,,http://oceans5.org/project/curbing-destructive-fishing-in-nicaragua/
327,Integrated Management of Marine and Coastal Areas of High Value for Biodiversity in Continental Ecuador,GEF Trust Fund,Active,2014,,Ecuador,Pacific Ocean,,"Food and Agriculture Organisation; Ministry of the Environment (MAE),Conservation International Foundation (CI) will act as an Implementation Partner","US$ 23,736,255","GEF - US$ 4,258,788, Co-financing US$ 19,407,147",,,https://www.thegef.org/project/integrated-management-marine-and-coastal-areas-high-value-biodiversity-continental-ecuador
328,BZ Marine Conservation and Climate Adaptation,World Bank,Active,2015,2020,Belize,Pacific Ocean,Belize,"Ministry of Forestry, Fisheries, and Sustainable Development",US$ 7.31  million,Adaptation Fund - US$ 5.5 million … Belize - US$ 1.8 million,,"Sylvia Michele Diez, Enos E. Esikuri",http://projects.worldbank.org/P131408?lang=en
329,Pacific Islands Regional Oceanscape Program,World Bank,Active,2015,2020,Pacific Islands,Pacific Ocean,Pacific Island Countries,"Ministries of Fisheries, Regional Organizations",US$ 3.97  million,IDA - US$ 3.97 million,,Denis Jean-Jacques Jordy,http://projects.worldbank.org/P131655?lang=en
330,Protecting Niue,Tofia Niue/ Oceans5,Active,2015,2018,Niue,Pacific Ocean,,,"US$ 660,000",,,,http://oceans5.org/project/protecting-niue/
331,Coral gardening and marine conservation,UNDP,Active,2015,2015,Samoa,Pacific Ocean,,Grantee: Alii ma Faipule Apai Manono Village,"Grant amount: US$ 2,500",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23062&Itemid=272
332,Building local communities capacity to coral ecosystem restoration for biodiversity conservation,UNDP,Active,2015,2017,Vanuatu,Pacific Ocean,,Grantee: Vanuatu Coastal Fishermens Association,"Grant amount: US$ 40,222",,Biodiversity,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=23804&Itemid=272
333,Improving Fisheries in the Mesoamerican Reef,Oceans5,Active,2016,2019,Belize Honduras,Pacific Ocean,,,"US$1,300,000","Smithsonian Institution, Wildlife Conservation Society, Centre for Marine Studies",,,http://oceans5.org/project/improving-fisheries-in-the-mesoamerican-reef/
334,Protecting Micronesian Waters,Micronesia Conservation Trust (MCT)/ Oceans5,Active,2016,2019,"Federated States of Micronesia (FSM), Republic of the Marshall Islands (RMI)",Pacific Ocean,,,"US$ 800,000",,,,http://oceans5.org/project/protecting-micronesian-waters/
335,Improving Mangrove Conservation across the Eastern Tropical Pacific Seascape (ETPS) through Coordinated Regional and National Strategy Development and Implementation,GEF Trust Fund,Active,2016 (concept approved),,Tropical Pacific Seascape,Pacific Ocean,,WWF-US; Conservational International,"US$ 6,508,668","GEF - US$ 1,900, 810, Co-financing US$ 4,516,858",,,https://www.thegef.org/project/improving-mangrove-conservation-across-eastern-tropical-pacific-seascape-etps-through
336,CTI: Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative Phase III (COREMAP-CTI III),GEF Trust Fund,Active,2013,,Indonesia,Pacific Ocean,,"Asian Development Bank, Ministry of Marine Affairs and Fisheries (MMAF)","US$ 64,200,000","GEF - US$ 8 million, Co-financing US$ 56 million",,,https://www.thegef.org/project/cti-coral-reef-rehabilitation-and-management-program-coral-triangle-initiative-phase-iii
337,LME-EA Coral Triangle Initiative Project (COREMAPIII-CTI),GEF Trust Fund,Active,2013,,Indonesia,Pacific Ocean,,"The World Bank, Ministry of Marine Affairs and Fisheries, LIPI","US$ 56,180,000","GEF - US$ 10,000,000, Co-financing US$ 46,1800,000",,,https://www.thegef.org/project/lme-ea-coral-triangle-initiative-project-coremapiii-cti
